"id","name","avatar","images","price","stock","number_of_purchases","description","star","category_id","branch_id","created_at","updated_at"
"31","NGÔ CAY GIÒN VIETBORN CỰC ĐÃ - HỘP 200GR","products/BB5IofQPSRV4XkgG0Jus4CFI1LyTOHFZBuk2aU3P.jpg","products/gsAhhl69ikz8k2uRAAQ7TsmUl3pxFeQitbbHUZ6J.jpg","59400","10","0","<p>VietBorn mang đến cho bạn trải nghiệm hoàn toàn mới với ngô sấy đặc biệt:</p><p>Ngô nếp tươi Mộc Châu: Được tuyển chọn kỹ càng từ những bắp ngô tươi ngon nhất, đảm bảo độ ngọt tự nhiên và chất lượng tuyệt hảo.</p><p>Sấy cùng mật ong và ớt: Sự kết hợp hoàn hảo giữa vị ngọt thanh của mật ong, vị bùi béo của ngô và chút cay nồng của ớt tạo nên hương vị độc đáo, khó cưỡng.</p><p>Giòn tan từng hạt: Ngô sấy VietBorn được sấy khô bằng công nghệ hiện đại, giữ nguyên độ giòn tan và hương thơm đặc trưng</p>","0","4","3","2025-05-13 08:51:26","2025-05-13 08:51:26"
"32","Mật ong lên men tươi chai","products/DMG1aiIOKIPNsa67DhIyekOf4JIvjUvCRQGmOPS7.png","products/QH9tEqFQKBqCDgQ1pOdN7se7jiMNuK9VYwDSH9gx.png","675000","10","0","<p>Mật ong lên men tươi có nhiều tác dụng với sức khỏe:&nbsp;</p><p>- bổ sung hàng tỉ lợi khuẩn&nbsp;</p><p>- hỗ trợ&nbsp; tốt cho người đau dạ dày&nbsp;</p><p>- Hỗ trợ người mắc bệnh viêm thanh quản , hô hấp...</p>","0","4","4","2025-05-13 08:52:40","2025-05-13 08:52:40"
"33","Sữa chua uống dừa sáp lên men 120ml","products/0PEmbjigUtJeNgRbKY3XrTuPj675YbDYGKPIcf3O.jpg","products/jdkd8n7xwVLD2UoNdaa3zVllqrGEyHQNkNRGvWdR.jpg","30000","10","0","<p>Khám phá Sữa Chua Uống Dừa Sáp – sản phẩm tuyệt vời giúp bạn bổ sung năng lượng và dinh dưỡng mỗi ngày! Với công thức độc đáo, sữa chua này không chỉ thơm ngon mà còn mang lại nhiều lợi ích cho sức khỏe</p>","0","4","1","2025-05-13 08:53:39","2025-05-13 08:53:39"
"34","MẮM LÓC CHIÊN THỐ QUỐC TRUNG - HỦ 450G MẮM CHIÊN THỐ","products/7KoZzXnyko9dEjcLQ4i0tzPJuY7thzMpq801DUpK.png","products/jubqQgejI54VIYjYH56GUiaeLymkRQYYZgCtCmJ4.jpg","300000","10","0","<p>Mắm chiên</p>","0","4","1","2025-05-13 08:54:53","2025-05-13 08:54:53"
"35","Măng muối chua thanh hòa hộp 500g","products/nr3D6b0BjyVx62vmMmZS1NaOwRZa4WEEXvl3l7Wo.jpg","products/Q6TvxMeyyQy0b0PgvNy3rRkitY0EIvbLwky5dzRc.jpg","40000","10","0","<p>Măng chua Ngon</p>","0","4","3","2025-05-13 08:57:15","2025-05-13 08:57:15"
"36","TÔM THẺ CHÂN TRẮNG - 30 Con/kg","products/6OaJQZn7EneAImQE1PHMDkO2HjPzOHAPv5NPJAZa.png","products/AfmaVwUs80ADGrTeX2VIappOnhNx6twaejK8kvQ7.jpg","300000","10","0","<p>- Tôm thẻ chân trắng là một loại tôm có giá trị kinh tế cao và được đánh giá cao trong ngành công nghiệp thủy sản vì hương vị thơm ngon và chất lượng dinh dưỡng.</p><p>- Tôm thẻ lớn, với kích thước trung bình từ 30-35 con/kg, là sản phẩm biển tươi ngon và giàu dinh dưỡng. Thành phần chính của tôm thẻ bao gồm thịt tôm tươi ngon và chất bổ sung từ môi trường biển. Chúng có thể được chế biến thành nhiều món ngon như hấp, nướng, xào, hay làm nước lẩu, đem lại hương vị thơm ngon và dinh dưỡng cao cho các bữa ăn gia đình và tiệc tùng.</p><p>- Cách sử dụng: Rửa sạch và dùng dể chế biến các món ăn</p>","0","6","1","2025-05-13 08:59:53","2025-05-13 08:59:53"
"37","Cá Thu Một Nắng Côn Đảo","products/XemwxvIwTogpKFFHJlWWDyeRsKreVDqeT7nNdjYB.jpg","products/udeIww3xWFPtp1e1qRhY8CJXQr5moD5WFmIWS7yb.jpg","350000","10","0","<p>Cá thu một nắng Côn Đảo được lựa chọn từ những con cá Thu tươi, ngon đánh bắt ở Vùng ven biển Côn Đảo. Cá thu được lượt bỏ phần xương, xử lý thịt cá qua nước, muôi đúng tiêu chuân, sản phẩm được phơi nắng (khu phơi đảm bảo vệ sinh, màng che). Sản phẩm đạt kiểm định chất lượng (theo kết quả kiểm định chất lượng sản phẩm).</p><p>Cá thu một nắng có thể được chế biến thành nhiều món ăn ngon, từ nướng, chiên, xào, đến hấp, mỗi cách chế biến lại mang đến một hương vị riêng biệt. Khi nướng, cá thu một nắng thơm lừng, giòn rụm bên ngoài nhưng vẫn giữ được độ mềm, ngọt bên trong.</p>","0","6","1","2025-05-13 09:02:06","2025-05-13 09:02:06"
"38","OCOP - Chả cá Song Biển - 500gram","products/v3QRzx7BVPZGOBl3jB5a0ir3D6a42XFV5vjYXE3Z.jpg","products/pOygx0AwHCt7dTuNAmRCnqlHb7f34OzTplZegvbS.jpg","90000","10","0","<p>Tiền Hải là một huyện miền biển của tỉnh Thái Bình với nhiều bãi biển đẹp hoang sơ và rất giàu tài nguyên tôm cá. Bởi được thiên nhiên ưu ái nên sản lượng hải sản đánh bắt được ở nơi đây luôn vượt trội. Với nghề chài lưới truyền thống lâu đời, người dân Tiền Hải ngày ngày ra khơi đánh bắt về rất nhiều loại hải sản biển tươi ngon phục vụ đời sống nhân dân địa phương và phát triển thành nhiều sản phẩm chất lượng. Công ty TNHH Hải sản Ngọc Minh là đơn vị đi đầu trong sản xuất và chế biến hải sản tại địa phương đã lựa chọn cá song biển tươi ngon để tạo nên sản phẩm Đặc Sản Chả Cá Song Biển có chất lượng cao.</p><p>Những chiếc thuyền ra khơi trở về mang trong khoang thuyền rất nhiều loại cá biển cùng với loài tôm biển đặc biệt tươi ngon. Cá Song hay còn được biết với cái tên thân thuộc là Cá Mú. Đây là một loại cá biển xuất hiện nhiều ở khu vực Bắc Trung Bộ. Cá Song biển có thịt chắc, thơm ngon và béo nên rất được ưa chuộng. Mong muốn đưa sản phẩm tươi ngon nhất đến tay người dùng và bữa ăn thêm phần hấp dẫn, công ty TNHH Hải sản Ngọc Minh đã lựa chọn những con Cá Song biển tươi ngon nhất, cùng công thức riêng biệt tạo nên Đặc Sản Chả Cá Song Biển vô cùng thơm ngon. Từ khâu lựa chọn nguyên liệu đến quy trình sơ chế và chế biến đều được công ty TNHH Hải sản Ngọc Minh kiểm soát rất nghiêm ngặt, đảm bảo vệ sinh an toàn thực phẩm. Cá Song biển tươi được sơ chế làm sạch, lọc lấy phần thịt cá rồi xay nhuyễn cùng mắm cốt, tỏi, tiêu, rau thơm rồi chiên sơ tạp nên miếng chả cá dẻo dai, giòn ngọt và thơm lừng mê hoặc. Đặc Sản Chả Cá Song Biển được chia thành những miếng nhỏ, đóng khay đảm bảo vệ sinh và rất tiện dụng. Miếng chả cá của công ty TNHH Hải sản Ngọc Minh có điểm đặc biệt là hoàn toàn từ Cá Song biển tươi tự nhiên nên có vị ngọt đậm, thơm lừng và đặc biệt không chứa bột hay phụ gia nên giữ vẹn nguyên được hương vị tươi ngon của biển cả. Đặc Sản Chả Cá Song Biển là món ăn hấp dẫn mọi lứa tuổi và cung cấp nguồn dinh dưỡng dồi dào. Sản phẩm có thể chế biến thành các món ăn như chả cá chiên, chả cá rim, bánh mỳ chả cá phù hợp cho mọi bữa cơm gia đình hay các bữa tiệc.</p><p>Các sản phẩm hải sản mang thương hiệu Ngọc Minh với vị ngọt đậm đà và hương thơm đặc trưng của biển cả đã hấp dẫn rất nhiều thực khách. Sản phẩm Đặc Sản Chả Cá Song Biển đã được bán tại hệ thống cửa hàng của công ty TNHH Hải sản Ngọc Minh tại thôn Quang Thịnh, xã Nam Thịnh, huyện Tiền Hải, tỉnh Thái Bình, và một số tỉnh lân cận như Hà Nội, Hải Dương, Hà Nam, Thái Nguyên. Đây không chỉ là một loại thực phẩm tươi ngon cho gia đình mà còn là món quà chân tình và giàu dinh dưỡng mà người dân Tiền Hải muốn dành tặng cho bạn bè bốn phương. Hãy để các sản phẩm hải sản mang thương hiệu Ngọc Minh tăng thêm hương vị và dinh dưỡng cho bữa ăn gia đình bạn./.</p>","0","6","1","2025-05-13 09:03:51","2025-05-13 09:03:51"
"39","OCOP - TÔM NÕN TIỀN CHÂU - 1 HỘP 500gram","products/AVM1tX6qwQignNGVDjexDOXGF5uW6QNneIYElFvF.jpg","products/VL4EConNzikDFVby0rpKvU11NKFJKVAoSKtHwg60.jpg#products/t84WZKjii8CIgDdnFfJgt1wsLelahRgIFFemqH9T.jpg","120000","10","0","<p>Tiền Hải là một huyện miền biển của tỉnh Thái Bình với nhiều bãi biển đẹp hoang sơ và rất giàu tài nguyên tôm cá. Bởi được thiên nhiên ưu ái nên sản lượng hải sản đánh bắt được ở nơi đây luôn vượt trội. Với nghề chài lưới truyền thống lâu đời, người dân Tiền Hải ngày ngày ra khơi đánh bắt về rất nhiều loại hải sản biển tươi ngon phục vụ đời sống nhân dân địa phương và phát triển thành nhiều sản phẩm chất lượng. Đặc biệt trong đó có loài tôm biển thơm ngon được Công ty TNHH sản xuất và chế biển thủy hải sản số 6, chế biến thành sản phẩm Tôm nõn Tiền Châu có chất lượng và giá trị cao.</p>","0","6","4","2025-05-14 02:14:47","2025-05-14 02:14:47"
"40","OCOP - Chả tôm Biển - 500gram","products/b2dgk3bG3f9VKothtiREoop466hbqeqjH6oRf4rP.jpg","products/4N7OkDXJFhIN1p8czEgyTBMft58NS4oU0JygUvak.jpg#products/op0SoHjsJt2EjxIwJIOT6YFvrTVzaE5ZrCNlubY4.jpg","110000","10","0","<p>Tiền Hải là một huyện miền biển của tỉnh Thái Bình với nhiều bãi biển đẹp hoang sơ và rất giàu tài nguyên tôm cá. Bởi được thiên nhiên ưu ái nên sản lượng hải sản đánh bắt được ở nơi đây luôn vượt trội. Với nghề chài lưới truyền thống lâu đời, người dân Tiền Hải ngày ngày ra khơi đánh bắt về rất nhiều loại hải sản biển tươi ngon phục vụ đời sống nhân dân địa phương và phát triển thành nhiều sản phẩm chất lượng. Công ty TNHH Hải sản Ngọc Minh là đơn vị đi đầu trong sản xuất và chế biến hải sản tại địa phương đã lựa chọn tôm biển tươi ngon để tạo nên sản phẩm Đặc Sản Chả Tôm Biển có chất lượng và giá trị cao.</p><p>Những chiếc thuyền ra khơi trở về mang trong khoang thuyền rất nhiều loại cá biển cùng với loài tôm biển đặc biệt tươi ngon. Tôm tự nhiên được đánh bắt ở vùng biển Thái Bình, đặc biệt là ở huyện Tiền Hải có điểm đặc biệt là thịt tôm săn chắc, vỏ mỏng và hương vị đậm đà. Mong muốn đưa sản phẩm tươi ngon nhất đến tay người dùng và bữa ăn thêm phần hấp dẫn, công ty TNHH Hải sản Ngọc Minh đã lựa chọn những con tôm biển tươi ngon nhất, cùng công thức riêng biệt tạo nên Đặc Sản Chả Tôm Biển vô cùng hấp dẫn. Từ khâu lựa chọn nguyên liệu đến quy trình sơ chế và chế biến đều được công ty TNHH Hải sản Ngọc Minh kiểm soát rất nghiêm ngặt, đảm bảo vệ sinh an toàn thực phẩm. Tôm biển tươi tự nhiên được làm sạch, xay nhuyễn cùng thịt lợn tươi và các loại gia vị rồi chiên sơ tạo nên miếng chả tôm vàng óng hấp dẫn. Đặc Sản Chả Tôm Biển được chia thành những miếng nhỏ, đóng khay đảm bảo vệ sinh và rất tiện dụng. Miếng chả tôm của công ty TNHH Hải sản Ngọc Minh có điểm đặc biệt là hoàn toàn từ tôm biển tươi tự nhiên nên có vị ngọt đậm, thơm lừng và đặc biệt không chứa bột hay phụ gia nên giữ vẹn nguyên được hương vị tươi ngon của biển cả. Đặc Sản Chả Tôm Biển là món ăn hấp dẫn mọi lứa tuổi và cung cấp nguồn dinh dưỡng dồi dào. Sản phẩm có thể chế biến thành các món ăn như chả tôm chiên, chả tôm rim cà chua phù hợp cho mọi bữa cơm gia đình hay các bữa tiệc.</p><p>Các sản phẩm hải sản mang thương hiệu Ngọc Minh với vị ngọt đậm đà và hương thơm đặc trưng của biển cả đã hấp dẫn rất nhiều thực khách. Sản phẩm Đặc Sản Chả Tôm Biển đã được bán tại hệ thống cửa hàng của công ty TNHH Hải sản Ngọc Minh tại thôn Quang Thịnh, xã Nam Thịnh, huyện Tiền Hải, tỉnh Thái Bình, và một số tỉnh lân cận như Hà Nội, Hải Dương, Hà Nam, Thái Nguyên. Đây không chỉ là một loại thực phẩm tươi ngon cho gia đình mà còn là món quà chân tình và giàu dinh dưỡng mà người dân Tiền Hải muốn dành tặng cho bạn bè bốn phương. Hãy để các sản phẩm hải sản mang thương hiệu Ngọc Minh tăng thêm hương vị và dinh dưỡng cho bữa ăn gia đình bạn./..</p>","0","6","3","2025-05-14 02:16:13","2025-05-14 02:16:13"
"41","Cá Cơm Mờm Rim (70g/hủ)","products/p59Y9D9Yotyg5CahdWWFuLjMfY8KluEwhUrfyFGl.jpg","products/dCBjZObSex8KTwEpduUWRWv3ThcAk2PsC9VuKrl5.jpg#products/gW0YepLzuPZp2Q3r7dMMhz0PPAXnJMtgxj7P037b.jpg","40000","10","0","<p>Cá cơm mờm được mọi người biết đến là loài cá có nhiều chất dinh dưỡng nhất trong dòng cá cơm , Loại cá này chứa rất nhiều loại vitamin và khoáng chất rất tốt, đặc biệt là Vitamin E, Omega 3..... trong chế độ ăn bình thường thiếu đi những vitamin tốt cho móng và tóc như: vitamin H (hay còn gọi là<a href=""https://hellobacsi.com/thuoc/biotin/""> biotin</a>), vitamin B complex, vitamin E, A…&nbsp; cá cơm là nguồn cung dồi dào chất đạm, vitamin và khoáng chất thiết yếu nhằm duy trì sức khỏe tổng thể. Một vài thành phần nổi bật có thể kể đến như: các vitamin nhóm B (<a href=""https://hellobacsi.com/thuoc/thiamin/"">thiamin</a>,<a href=""https://hellobacsi.com/thuoc/vitamin-b2-riboflavin/""> riboflavin</a>,<a href=""https://hellobacsi.com/thuoc/niacin-lovastatin/""> niacin</a>, folate…), canxi, sắt, magie, phospho, kẽm… Đặc biệt hơn loại cá này còn rất giàu<a href=""https://hellobacsi.com/thuoc/axit-beo-omega-3/""> axit béo omega-3</a>, cùng những loại cholesterol tốt cho cơ thể. Cá cơm là một thực phẩm sở hữu hàm lượng cao chất béo không bão hòa.</p>","0","6","3","2025-05-14 02:17:59","2025-05-14 02:17:59"
"42","OCOP - Cá nhệch kho tộ - 500gram","products/nSI5IMlQBwqg49DmHLvudtVcuvYY0m0PUsWfAcWu.jpg","products/QbPIVmEb6oGUb5A0liIfyHEBIbh0Jq1fkQvMaXM0.jpg","150000","10","0","<p>Cá kho là món ăn truyền thống từ rất lâu đời của người Việt Nam. Món ăn này thường xuyên xuất hiện trong những bữa cơm gia đình hằng ngày, đặc biệt là vào tiết trời mùa đông se lạnh. Nếu ai đã một lần thưởng thức món cá nhệch kho tộ thì chắc chắn không thể quên được hương vị của món ăn làm say đắm lòng người này.</p><p>Người Việt Nam có truyền thống ăn cá kho từ rất lâu đời. Trong bữa cơm gia đình, chúng ta đã khá quen thuộc với các món cá kho tộ như cá bống, cá chép, cá basa hay cá rô… nhưng Cá nhệch kho tộ thì bạn đã được thưởng thức chưa? Cá nhệch kho tộ trong các nhà hàng được chế biến như thế nào mà khiến cho thực khách khó tính nhất cũng phải gật gù khen ngon?</p><p>Món kho tộ xuất phát từ gian bếp của người dân nam bộ, tuy nhiên món ăn này được sử dụng phổ biến ở cả 3 miền Bắc Trung Nam, trở thành món ăn vô cùng gần gũi và dung dị. Tộ ở đây là cái tôt đất hoặc nồi đất dùng để kho cá. Cá được kho trong tộ đất mới ngon, chắc thịt và mang hương vị rất riêng của món cá kho.</p><p>Cá nhệch có thể chế biến được nhiều món ngon như: gỏi nhệch, nhệch om chuối đậu,…Nhưng cứ mỗi khi đến mùa đông thì món nhệch kho khô niêu đất được yêu thích nhất. Đây cũng là mùa mà nhệch cho năng suất đánh bắt cá, nhệch vào mùa, thơm ngon và béo hơn so với thời gian còn lại trong năm.</p><p>Để có niêu cá nhệch kho khô đạt tiêu chuẩn, thì khâu chuẩn bị nguyên liệu cũng cần được chú ý hơn. Cá nhệch kho thường là những con to bằng 2 ngón tay, có cân nặng tầm 600 – 700gr/ con và còn sống. Theo kinh nghiệm của ông cha ta để lại, nhệch lúc này đủ lớn để cho nhiều thịt, thịt nhệch cũng giai và chắc hơn so với loại cá còn nhỏ. Nếu chọn loại to quá thì thịt cá sẽ không được ngọt và thơm.</p><p>Các nguyên liệu dùng để kho chung với nhệch cũng có phần khác biệt so với các món cá kho tộ truyền thống. Nguyên liệu đi kèm gồm: riềng, sả, hành tím, ớt, rau răm, mùi tàu. Gia vị gồm: muối, tiêu, đường, nước mắt cốt, … Phải đầy đủ nguyên liệu thì hương vị cá kho mới được trọn vẹn.</p>","0","6","4","2025-05-14 02:19:17","2025-05-14 02:19:17"
"43","OCOP - Tôm nõn Mai Hường - Túi 1kg","products/7HSqTyNnqzLewZA9MnvGoVLAY5LYUq2K1yIvurHQ.jpg","products/tL2uqynmA8GaNzXD81Z0P4yBcyfBZrL4zEu00iJf.jpg","600000","10","0","<p>Tên sản phẩm: Tôm nõn Mai Hường</p><p>- Tên cơ sở sản xuất: Hộ kinh doanh Triệu Tuyết Mai</p><p>- Địa chỉ sản xuất: xã Ngư Lộc, huyện Hậu Lộc.</p><p>- Chủ cơ sở: Triệu Tuyết Mai</p><p>- Mô tả sản phẩm: là sản phẩm OCOP.</p><p>- Giá: 600.000 đồng - 1.500.000 đồng/tùy size.</p>","0","6","3","2025-05-14 02:24:59","2025-05-14 02:24:59"
"44","OCOP - Cá thu nướng Quân Thủy - Túi 1kg","products/htrmi3D0RuSM7bOYEY3yXo9MVCjcc3J5JSMdINl4.jpg","products/2aIocqPLSBea1nrTnz4PUyKVlSZsMTHNvYFBODm4.jpg","320000","10","0","<p>- Mô tả sản phẩm: Cá thu là một trong những loại cá biển có thịt thơm ngon, nhiều giá trị dinh dưỡng như chất béo, chất đạm. Hàm lượng dinh dưỡng trong thịt cá thu cao,&nbsp; chứa những&nbsp;vitamin&nbsp;và khoáng chất hàng đầu mà cơ thể cần thiết như acid béo omega-3 và lượng protein cao, cùng các loại khoáng chất như vitamin A, D,&nbsp;magie, kẽm, phốt pho, canxi,... giàu&nbsp;dinh dưỡng và năng lượng. Sử dụng thịt cá thu có tác dụng ngăn ngừa bệnh tim mạch, phát triển não bộ, tăng cường hệ miễn dịch, ngăn ngừa ung thư, tiểu đường, làm giảm tình trạng lão hóa, cải thiện các vấn đề về da... Tiêu thụ các sản phẩm từ cá sẽ mang đến một cơ thể khỏe mạnh, dẻo dai hơn, kéo dài tuổi thọ. Cá thu tươi được nướng thủ công trên bếp bằng than hoa nên vẫn giữ nguyên được hương vị thơm ngon, đảm bảo chất dinh dưỡng của cá. Miếng cá đạt tiêu chuẩn là miếng có màu hơi vàng, không cháy, không bị chảy mỡ và đặc biệt phải có mùi thơm đặc trưng của món cá nướng. Sản phẩm không sử dụng hóa chất, chất bảo quản nên rất an toàn cho người sử dụng. Dùng để chế biên các món hấp, nướng, sốt hoặc chế biến các món ăn theo nhu cầu. Bảo quản ở ngăn mát hạn sử dụng là 15 ngày, bảo quản ở ngăn đá hạn sử dụng là 90 ngày kể từ ngày kể từ ngày đóng gói. Là sản phẩm OCOP.</p>","0","6","3","2025-05-14 02:26:42","2025-05-14 02:26:42"
"45","Cá Mòi Kho Làng Chài - Xách 3 Lon (600g)","products/tJpSrUrQVt0Dh8EUiK22zsXfbkkWXwOBOoxx3Yn7.jpg","products/090Cc4xmjVKcMQ2t9IXHM8PgDTcS7jLUh6hMetLJ.jpg","150000","10","0","<p>Mô tả sản phẩm: Cá mòi đánh bắt cửa sông, mang kho thủ công cùng các loại gia vị hoàn toàn tự nhiên sau đó đóng vào hộp thanh trùng, cá hoàn toàn nhừ xương nhưng thịt cá vẫn săn chắc, cá và gia vị hòa quyện, thơm ngon, béo ngậy và giàu dinh dưỡng. Sản phẩm được bình chọn vào Top 100 đặc sản làm quà Việt Nam.</p><p>Thành phần chính: Cá mòi, riềng, chuối xanh, gừng, chay, mía, hạt tiêu…và các gia vị nêm.</p>","0","6","3","2025-05-14 02:33:04","2025-05-14 02:33:04"
"46","Đĩa khu đền tháp Mỹ Sơn","products/LNhODyG3PjWsLZT1gEsAej9DwMgfuNg7RTXD0aza.jpg","products/h1EKZwMj4vW9j1TZ3A9IVNKdHRQEB2KDeUdVUy1E.jpg#products/VPpvA6pd3kCJnJbHBX24TCwYd4jibzmXn64IiR0u.jpg","500000","5","0","<p>"" Đĩa khu đền tháp Mỹ Sơn"" là sản phẩm dùng trong việc trang trí phòng khách, để bàn làm việc, sản phẩm nhỏ gọn có bao gói, mà còn rất tiện lợi cho khách du lịch tham quan mua sắm làm quà tặng cho người thân, quảng bá về di sản văn hóa thế giới tại địa phương Duy Xuyên, Quảng Nam.</p>","0","7","4","2025-05-14 02:38:20","2025-05-14 02:38:20"
"47","Đá cảnh nghệ Thuật - đá thạch anh vàng","products/LxG9axWr5c05FVDh2Hh40h9YCNigfJk095Stmh6V.jpg","products/Jokqgtgl2PgrJ4ZPGoTDoEmOhMz0BVCZX7TnBfYD.jpg","800000","10","0","<p><i>là một loại đá quý không chỉ sở hữu vẻ đẹp lấp lánh say lòng người.&nbsp;Mà còn là loại đá&nbsp;ẩn chứa trong mình một nguồn năng lượng kỳ diệu mang đến nhiều tác dụng trong đời sống.</i>&nbsp;Chính bởi vậy mà đá thạch anh vàng rất được giới kinh doanh ưa chuộng sử dụng.&nbsp;Trong quá trình làm việc, bạn cũng có thể đặt một viên đá thạch anh vàng lên bàn làm việc. Năng lượng từ đá tỏa ra sẽ giúp tăng cường sự tập trung, khả năng sáng tạo để hoàn thành tốt công việc.</p>","0","7","1","2025-05-14 02:41:03","2025-05-14 02:41:03"
"48","NÓN LÁ ĐƯỜNG KÍNH 40CM","products/5CDZXVySDMs0HD3ANUnc8MUS3okTTqhjvLGsjXIJ.jpg","products/3DDsAeyUbQMxkz2ki1WdiEPZqzY7gDdby5rKKv1M.jpg","45000","10","0","<p>Nón lá là một đặc trưng văn hóa, có ý nghĩa rất sâu sắc và đặc biệt đối với người Việt Nam, là biểu tượng gắn với nông nghiệp, nông thôn và nghề làm ruộng, chiếc nón lá che mưa che nắng, phản ánh cuộc sống, hình ảnh lao động một nắng hai sương, chịu thương chịu khó của người dân Việt Nam.</p>","0","7","4","2025-05-14 02:46:32","2025-05-14 02:46:32"
"49","RỔ MÂY TRE","products/Z2E4RIUrFShHnyWKKeKfLNqT9njnHUj98PmgixWZ.jpg","products/SgB2BPjUBqHCpYyGn5lHqJ1OT8GVR69R09YSblp2.jpg","200000","10","0","<p>rổ mây tre quảng nam</p>","0","7","4","2025-05-14 02:48:06","2025-05-14 02:48:06"
"50","Trầm Hương","products/oAS8yRYkFvHWgDzeSJAEaX5oIrwTkEHGmfhvgDbP.jpg","products/WpPKQNBXaAmABZ9JBVmEAU2KPOqVr9CHu4GRVv3Y.jpg","500000","10","0","<p>Được Làm Từ Trầm Cao Cấp, sản phẩm nhiều mẫu mã cho quý khach hàng lựa chọn</p>","0","7","4","2025-05-14 02:56:19","2025-05-14 02:56:19"
